pool	path	class	mean_colour_shift	luminance_corr
TS	textures/architecture/whiterun/wrstonemortar01.dds	repaint	shift=81.5	corr=-0.00
TS	textures/architecture/whiterun/wrplasterdecals.dds	recolour	shift=12.4	corr=0.98
TS	textures/architecture/whiterun/wrwoodbranchwall01color.dds	recolour	shift=79.2	corr=0.98
TS	textures/architecture/whiterun/wrwoodfloorint01.dds	recolour	shift=83.3	corr=0.99
TS	textures/architecture/whiterun/wrplasterint01.dds	repaint	shift=102.5	corr=-0.02
TS	textures/architecture/whiterun/wrwoodbranchwall01int.dds	recolour	shift=68.8	corr=0.98
TS	textures/architecture/whiterun/wrwoodplanks01.dds	recolour	shift=39.6	corr=0.99
TS	textures/architecture/whiterun/wrcitywall02.dds	near-vanilla	shift=0.7	corr=0.97
TS	textures/architecture/whiterun/wrslate02.dds	recolour	shift=34.2	corr=0.99
TS	textures/architecture/whiterun/wrmarketstallroof01.dds	near-vanilla	shift=0.7	corr=0.97
TS	textures/architecture/whiterun/wrcitywalltopcap01.dds	repaint	shift=191.0	corr=-0.02
TS	textures/architecture/whiterun/wrcastlecarvings.dds	recolour	shift=65.0	corr=0.98
TS	textures/architecture/whiterun/wrcitywalltrims01.dds	recolour	shift=76.4	corr=0.97
TS	textures/architecture/whiterun/wrlandtundrarocksdecal01.dds	repaint	shift=40.5	corr=-0.00
TS	textures/architecture/whiterun/wrdragoncarvings01.dds	recolour	shift=71.3	corr=0.98
TS	textures/architecture/whiterun/wrlargewoodpillar01.dds	recolour	shift=20.5	corr=0.97
TS	textures/architecture/whiterun/wrmossalpha01.dds	near-vanilla	shift=0.7	corr=0.95
TS	textures/architecture/whiterun/wrcarvedpanels01.dds	repaint	shift=39.3	corr=0.24
TS	textures/architecture/whiterun/wrcitybannerinsidetall01.dds	near-vanilla	shift=0.6	corr=0.99
TS	textures/architecture/whiterun/wrtemplekynarethmosaic.dds	near-vanilla	shift=0.6	corr=0.99
TS	textures/architecture/whiterun/wrplasterint01low.dds	repaint	shift=38.8	corr=-0.02
TS	textures/architecture/whiterun/wrtrellisvines01.dds	near-vanilla	shift=0.5	corr=0.99
TS	textures/architecture/whiterun/wrfieldgrass01.dds	repaint	shift=51.4	corr=0.00
TS	textures/architecture/whiterun/wrstonebase01.dds	repaint	shift=45.0	corr=0.06
TS	textures/architecture/whiterun/wrwoodplanks03.dds	near-vanilla	shift=0.8	corr=0.99
TS	textures/architecture/whiterun/wrshippanel01.dds	near-vanilla	shift=0.7	corr=0.99
TS	textures/architecture/whiterun/wrcitywall01plaster.dds	repaint	shift=97.4	corr=0.03
TS	textures/architecture/whiterun/wrwoodplaster01.dds	repaint	shift=54.9	corr=0.01
TS	textures/architecture/whiterun/wrstonefloor02.dds	recolour	shift=47.6	corr=1.00
TS	textures/architecture/solitude/swoodfloor01.dds	recolour	shift=24.6	corr=0.95
TS	textures/architecture/solitude/sstonefloor01.dds	recolour	shift=26.2	corr=0.98
TS	textures/architecture/solitude/sstonewall03.dds	recolour	shift=100.8	corr=0.94
TS	textures/architecture/solitude/swindow04.dds	near-vanilla	shift=0.5	corr=0.99
TS	textures/architecture/solitude/swoodcolumn01.dds	recolour	shift=26.9	corr=0.97
TS	textures/architecture/solitude/sstonefloortrim01.dds	recolour	shift=9.3	corr=1.00
TS	textures/architecture/solitude/sfloorhouse02.dds	near-vanilla	shift=0.6	corr=0.98
TS	textures/architecture/solitude/sthrone.dds	near-vanilla	shift=0.8	corr=0.98
TS	textures/architecture/solitude/strims01.dds	recolour	shift=109.6	corr=0.96
TS	textures/architecture/solitude/sroofslate01.dds	recolour	shift=37.6	corr=0.98
TS	textures/architecture/solitude/sslatebaseint01.dds	near-vanilla	shift=0.8	corr=0.97
TS	textures/architecture/solitude/ssteps01.dds	recolour	shift=119.5	corr=0.96
TS	textures/architecture/solitude/swoodbeam02.dds	recolour	shift=21.4	corr=0.97
TS	textures/architecture/solitude/swindmill.dds	near-vanilla	shift=7.3	corr=0.96
TS	textures/architecture/solitude/swoodstep01.dds	recolour	shift=23.3	corr=0.98
TS	textures/architecture/solitude/sstonestep01.dds	recolour	shift=117.4	corr=0.94
TS	textures/architecture/solitude/sintfloor01.dds	recolour	shift=100.7	corr=0.96
TS	textures/architecture/solitude/sdragontile01.dds	recolour	shift=31.7	corr=0.98
TS	textures/architecture/solitude/sintcoloumn02.dds	recolour	shift=92.0	corr=0.94
TS	textures/architecture/solitude/swindow02.dds	repaint	shift=11.2	corr=0.71
TS	textures/architecture/solitude/sstonebase01.dds	recolour	shift=112.9	corr=0.97
TS	textures/architecture/solitude/sstuccowallint01.dds	near-vanilla	shift=0.7	corr=0.98
TS	textures/architecture/solitude/sintcoloumn01.dds	recolour	shift=107.8	corr=0.95
TS	textures/architecture/solitude/sdetint01.dds	recolour	shift=89.9	corr=0.95
TS	textures/architecture/solitude/swindow01.dds	near-vanilla	shift=0.6	corr=0.99
TS	textures/architecture/solitude/sstonewall.dds	recolour	shift=116.4	corr=0.95
TS	textures/architecture/solitude/strims02.dds	recolour	shift=115.8	corr=0.94
TS	textures/architecture/solitude/ssteps02.dds	recolour	shift=116.5	corr=0.96
TS	textures/architecture/solitude/sstuccowall.dds	near-vanilla	shift=0.8	corr=0.99
TS	textures/architecture/solitude/smoss02walls.dds	near-vanilla	shift=0.7	corr=0.96
TS	textures/architecture/solitude/swooddet01.dds	recolour	shift=15.4	corr=0.98
TS	textures/architecture/solitude/sbanner01.dds	near-vanilla	shift=0.6	corr=0.99
TS	textures/architecture/solitude/sdetails01.dds	recolour	shift=116.2	corr=0.95
TS	textures/architecture/solitude/sfloorhouse01.dds	near-vanilla	shift=0.7	corr=0.97
TS	textures/architecture/solitude/sintwalltop01.dds	recolour	shift=104.0	corr=0.95
TS	textures/architecture/solitude/swoodbeam01.dds	recolour	shift=18.4	corr=0.95
TS	textures/architecture/solitude/smill01.dds	near-vanilla	shift=0.7	corr=0.99
TS	textures/architecture/solitude/sstonewall02.dds	recolour	shift=116.3	corr=0.95
TS	textures/architecture/solitude/swindow03.dds	near-vanilla	shift=0.5	corr=0.99
TS	textures/architecture/solitude/scastlecol01.dds	recolour	shift=100.1	corr=0.94
TS	textures/architecture/solitude/swoodplanks01.dds	recolour	shift=25.7	corr=0.98
TS	textures/dungeons/ridgedstone02a.dds	repaint	shift=137.8	corr=0.01
TS	textures/dungeons/ridgedstone05.dds	repaint	shift=123.9	corr=0.01
TS	textures/dungeons/ridgedstone06.dds	repaint	shift=128.4	corr=0.00
TS	textures/dungeons/caves/icefrozen02.dds	repaint	shift=264.8	corr=0.03
TS	textures/dungeons/caves/cavebaseground02.dds	repaint	shift=111.9	corr=0.39
TS	textures/dungeons/caves/icecavesubsurfacetint01.dds	recolour	shift=113.3	corr=nan
TS	textures/dungeons/caves/icerock01.dds	recolour	shift=14.5	corr=1.00
TS	textures/dungeons/caves/icecavewall01.dds	repaint	shift=241.6	corr=0.02
TS	textures/dungeons/caves/icefrozen03.dds	recolour	shift=19.9	corr=1.00
TS	textures/dungeons/caves/icecavesnowtrim01.dds	repaint	shift=221.6	corr=0.00
TS	textures/dungeons/caves/icecavewall04.dds	repaint	shift=241.5	corr=0.02
TS	textures/dungeons/caves/icecavesubsurfacetint02.dds	recolour	shift=374.6	corr=nan
TS	textures/dungeons/caves/icecavewall02.dds	repaint	shift=107.6	corr=0.02
TS	textures/dungeons/caves/icefrozen01.dds	repaint	shift=249.2	corr=-0.04
PR	textures/architecture/windhelm/whroughgroundwet.dds	repaint	shift=19.6	corr=-0.00
PR	textures/architecture/windhelm/whroughground.dds	repaint	shift=20.4	corr=-0.01
PR	textures/architecture/windhelm/whextrawet.dds	repaint	shift=21.3	corr=-0.01
PR	textures/architecture/windhelm/whroughgroundmud.dds	repaint	shift=19.0	corr=-0.00
PR	textures/architecture/windhelm/whdirtbrick.dds	repaint	shift=65.3	corr=0.00
PR	textures/architecture/windhelm/whstreetstone01.dds	repaint	shift=25.3	corr=-0.00
PR	textures/architecture/whiterun/wrfieldgrass01.dds	repaint	shift=35.1	corr=0.00
PR	textures/architecture/whiterun/wrstonebase01.dds	repaint	shift=24.7	corr=0.01
PR	textures/dungeons/ridgedstone02a.dds	repaint	shift=2.5	corr=0.80
PR	textures/dungeons/ridgedstone03.dds	repaint	shift=25.3	corr=0.05
PR	textures/dungeons/ridgedstone05.dds	repaint	shift=36.2	corr=0.01
PR	textures/dungeons/ridgedstone04.dds	repaint	shift=32.9	corr=0.07
PR	textures/dungeons/ridgedstone06.dds	repaint	shift=39.9	corr=0.02
PR	textures/dungeons/caves/icefrozen02.dds	repaint	shift=278.1	corr=0.00
PR	textures/dungeons/caves/cavebaseground02.dds	repaint	shift=99.5	corr=0.01
PR	textures/dungeons/caves/icecaverocks01.dds	recolour	shift=69.0	corr=0.96
PR	textures/dungeons/caves/icecavesubsurfacetint01.dds	recolour	shift=113.3	corr=nan
PR	textures/dungeons/caves/icecavewall01.dds	repaint	shift=273.0	corr=-0.01
PR	textures/dungeons/caves/icefrozen03.dds	repaint	shift=39.6	corr=0.03
PR	textures/dungeons/caves/icecavesnowtrim01.dds	repaint	shift=259.4	corr=0.00
PR	textures/dungeons/caves/icecavewall04.dds	repaint	shift=277.4	corr=0.03
PR	textures/dungeons/caves/icecavesubsurfacetint02.dds	recolour	shift=374.6	corr=nan
PR	textures/dungeons/caves/cavebaseground01.dds	repaint	shift=20.1	corr=-0.01
PR	textures/dungeons/caves/icecavewall02.dds	repaint	shift=137.4	corr=-0.02
PR	textures/dungeons/caves/icefrozen01.dds	repaint	shift=270.3	corr=-0.00
